iter	Passed	Remaining
585	1727	1220
586	1730	1217
587	1732	1214
588	1735	1211
589	1738	1207
590	1740	1204
591	1743	1201
592	1746	1198
593	1749	1195
594	1751	1192
595	1754	1189
596	1756	1186
597	1762	1184
598	1769	1184
599	1772	1181
600	1776	1179
601	1779	1176
602	1781	1173
603	1784	1169
604	1787	1166
605	1789	1163
606	1792	1160
607	1795	1157
608	1799	1155
609	1802	1152
610	1805	1149
611	1809	1147
612	1813	1145
613	1817	1142
614	1820	1139
615	1823	1136
616	1826	1133
617	1828	1130
618	1831	1127
619	1833	1124
620	1836	1120
621	1839	1117
622	1841	1114
623	1844	1111
624	1846	1107
625	1849	1105
626	1852	1101
627	1854	1098
628	1857	1095
629	1859	1092
630	1862	1089
631	1865	1086
632	1867	1082
633	1870	1079
634	1872	1076
635	1875	1073
636	1877	1070
637	1880	1066
638	1882	1063
639	1885	1060
640	1887	1057
641	1890	1054
642	1893	1051
643	1895	1047
644	1898	1044
645	1901	1041
646	1903	1038
647	1906	1035
648	1910	1033
649	1913	1030
650	1917	1027
651	1921	1025
652	1925	1023
653	1929	1020
654	1933	1018
655	1937	1015
656	1940	1013
657	1944	1010
658	1948	1008
659	1952	1005
660	1956	1003
661	1959	1000
662	1963	998
663	1967	995
664	1970	992
665	1973	989
666	1976	986
667	1979	984
668	1983	981
669	1985	978
670	1988	975
671	1991	972
672	1994	969
673	1997	966
674	2000	963
675	2003	960
676	2006	957
677	2009	954
678	2012	951
679	2015	948
680	2018	945
681	2021	942
682	2024	939
683	2027	936
684	2030	933
685	2034	931
686	2037	928
687	2040	925
688	2043	922
689	2046	919
690	2049	916
691	2052	913
692	2055	910
693	2058	907
694	2061	904
695	2066	902
696	2070	900
697	2074	897
698	2077	894
699	2082	892
700	2085	889
701	2088	886
702	2091	883
703	2094	880
704	2098	877
705	2101	874
706	2104	872
707	2107	869
708	2110	866
709	2113	863
710	2117	860
711	2120	857
712	2122	854
713	2126	851
714	2129	848
715	2133	846
716	2136	843
717	2139	840
718	2142	837
719	2145	834
720	2148	831
721	2151	828
722	2153	825
723	2157	822
724	2159	819
725	2162	816
726	2165	813
727	2168	810
728	2172	807
729	2175	804
730	2178	801
731	2181	798
732	2184	795
733	2187	792
734	2189	789
735	2193	786
736	2196	783
737	2200	781
738	2204	778
739	2206	775
740	2210	772
741	2212	769
742	2215	766
743	2218	763
744	2221	760
745	2224	757
746	2226	754
747	2229	751
748	2232	748
749	2235	745
750	2237	741
751	2240	738
752	2242	735
753	2245	732
754	2247	729
755	2250	726
756	2252	723
757	2255	720
758	2257	716
759	2260	713
760	2262	710
761	2265	707
762	2267	704
763	2270	701
764	2273	698
765	2275	695
766	2278	692
767	2280	688
768	2283	685
769	2285	682
770	2288	679
771	2290	676
772	2293	673
773	2295	670
774	2298	667
775	2300	664
776	2303	661
777	2306	658
778	2309	655
779	2311	652
780	2314	648
781	2316	645
782	2319	642
783	2321	639
784	2324	636
785	2326	633
786	2329	630
787	2332	627
788	2334	624
789	2337	621
790	2339	618
791	2342	615
792	2344	612
793	2347	608
794	2349	605
795	2352	602
796	2354	599
797	2357	596
798	2359	593
799	2362	590
800	2364	587
801	2367	584
802	2369	581
803	2372	578
804	2374	575
805	2377	572
806	2379	569
807	2381	566
808	2384	562
809	2386	559
810	2389	556
811	2392	553
812	2394	550
813	2397	547
814	2399	544
815	2402	541
816	2404	538
817	2407	535
818	2409	532
819	2412	529
820	2414	526
821	2417	523
822	2419	520
823	2422	517
824	2425	514
825	2427	511
826	2430	508
827	2432	505
828	2435	502
829	2437	499
830	2440	496
831	2442	493
832	2445	490
833	2447	487
834	2450	484
835	2452	481
836	2455	478
837	2457	475
838	2460	472
839	2462	469
840	2465	466
841	2467	463
842	2470	460
843	2472	457
844	2475	454
845	2477	451
846	2480	448
847	2482	445
848	2485	442
849	2487	439
850	2490	436
851	2492	433
852	2495	430
853	2498	427
854	2500	424
855	2503	421
856	2505	418
857	2508	415
858	2511	412
859	2513	409
860	2516	406
861	2518	403
862	2521	400
863	2524	397
864	2526	394
865	2529	391
866	2532	388
867	2534	385
868	2537	382
869	2539	379
870	2542	376
871	2544	373
872	2547	370
873	2549	367
874	2552	364
875	2554	361
876	2557	358
877	2560	355
878	2563	352
879	2565	349
880	2568	346
881	2570	343
882	2573	340
883	2575	337
884	2578	335
885	2580	332
886	2583	329
887	2585	326
888	2588	323
889	2590	320
890	2593	317
891	2595	314
892	2598	311
893	2600	308
894	2603	305
895	2605	302
896	2608	299
897	2610	296
898	2613	293
899	2615	290
900	2618	287
901	2620	284
902	2623	281
903	2625	278
904	2628	275
